id,comment_text,toxicity,label_diasability
247626,"You made a charge that ""Prozanski has refused to extend the statute of limitations for rape to 20 years"". In response, Ward 1 in Springfield responded that ""He supported increasing Oregon’s previous statute of limitations on rape from 6 to 12 years"". It is not 20 years for which you find fault, but it doubled the length of time.  In response to that you call Prozanski ""Prozac"" which is name calling by invoking mental illness. I get that you are rather angry with Prozanski, but it seems name calling using mental illness as a disparaging caricature does not address the response you received. 
Is that a fair assessment?",non-toxic,psychiatric_or_mental_illness
248758,More evidence that liberalism really is a mental disorder.  This is the stuff that's driving Donald Trump's popularity.,toxic,psychiatric_or_mental_illness
250355,"Since the organization has apparently been around for 144 years (1871) could you please identify what its true emphasis has been for those 144 years?  Have they only accepted those intent on maiming and killing since 1871 or did that occur later?    Are all 5 million of their members equally vile or are some less evil than others?  Which of the four magazines they publish are most likely to discourage training, responsible use or safety? 
When the NRA supported the  Gun Control Act of 1968 (GCA), which together created a system to federally license gun dealers and established restrictions on particular categories and classes of firearms, what was their real motivation?  (That's the one that also prohibits the mentally ill and felons to have firearms.)

I await your knowledgeable presentation about this nefarious organization.  My only prior contact of information  with the organization before today is seeing their stickers on other's cars.",toxic,psychiatric_or_mental_illness
251313,"Once again you insult others with ""it is a fact that these people have a mental illness that is incapable of grasping simple facts."". Your comment that uses people with mental illness and dementia as pawns is vile and disgusting.",toxic,psychiatric_or_mental_illness
251319,"Not at all, that is your delusions. I am addressing a social disease. Those who make slurs about people on the short bus are not intelligent enough to understand the difference between mentally handicapped, and pure stupidity. You need to look up the word ""dementia"" and learn it's meaning.",toxic,psychiatric_or_mental_illness
251422,"Dementia: ""medical : a mental illness that causes someone to be unable to think clearly or to understand what is real and what is not real."" You are incapable of grasping the difference between dementia my family with Huntington's disease exhibited, and LIBERAL DEMENTIA that is incapable of grasping reality based facts. You cannot refute anything I have posted on this thread, and in shameless intellectual bankruptcy accuse me of mocking the handicapped to deflect off subject. Your dementia does not make your charge fact. It does show just how shameless you are.",toxic,psychiatric_or_mental_illness
252874,"Actually, just the opposite of what you say here is true.   This man's long criminal history verifies that people who kill defenseless and harmless pets like this are indeed dangerous  mentally ill sociopaths.

No one in their right mind would believe that this man does not deserve to be locked away for a very long time.   Fortunately, 1st degree animal abuse in Oregon is a felony, and carries a mandatory category 6 sentence, using Oregon's sentencing guidelines chart.   Consequently, this man is going back to prison for a very long time indeed.

And that is where he belongs.",toxic,psychiatric_or_mental_illness
252982,"Those most in need of mental health care refuse it on a daily basis and the law supports their decisions.  Unless they are an immediate danger to themselves or others, no treatment can be given without their consent.  

When they do get them involuntarily or voluntarily committed, perhaps after being found ""Guilty except for insanity"" many are so violent and dangerous that nurses refuse to work where they are locked up.

Its hard to meet ""staffing needs"" when the staff are justifiably afraid to work with the patients.",non-toxic,psychiatric_or_mental_illness
253449,"If they removed the word Imminent, it would make a much more reasonable threshold for help, but I'm not sure it has to be coercive help?   Would a family making and appeal to get heop for another family member, be considered coercive?

That's part of our problem in counseling/psychology.   An individual is defined not just by what they think, but how the 'fit' and are influenced by others.   Hard enough to see your way clear through an individual problem, let alone how that person functions within their neighborhood or community.  There is no one defined best way to treat a serious mental illness.   When the state starts tring to define 'mental healty', it worries me, heck it worries that much of psychology still seeks 'model' behavior.   On the other side, it's not too hard to detect destructive behavior (directed in or out).

Gary's right that early detection is very helpful, but sometimes those who are closest to the problem are also part of the problem.  It's just very hard.",non-toxic,psychiatric_or_mental_illness
253681,"Whenever I take a lunch to the park, I manage to take my trash with me when I leave. Sometimes there are containers nearby to drop it in. Usually there's less mass to carry out than what I was willing to haul in. My generosity toward the homeless is lessened by the fact that they have all day every day to clean up after themselves but just won't. Yeah, yeah, mental illness, busy panhandling or trying to survive - but if they can pack it in, they CAN pack it out.",toxic,psychiatric_or_mental_illness
254144,"you know as much as anybody what a complex issue this is.   with mental illness, which is a big contributor to homelessness, being a lifetime issue dealt with lots of meds if it's serious, and judging by some of the behavior of some of the street people. !?!  treatment is good - the question of how are they going to access the meds?  even with a counselor - they are short-term people (re: blankets, sleeping bags just dumped wherever, easy come, easy go)  and psych meds aren't the most popular  for compliancy with any group.
 then there are just misfits - and the bad kind who are basically uncaring predators of the other street people.
    some just don't care.  maybe never got a break in their life and are just surviving. 
 I don't think a dumpster is the answer because these folks have shown so little regard for this type of stewardship in the areas  they do stay.  
   no simple,  one-approach solution.  I don't think there will ever be a solution as  long as humans act like humans.",toxic,psychiatric_or_mental_illness
263529,"He has a post on his Facebook saying that the government is spraying chemicals on Eugene from high altitude aircraft.   He also is a 911 conspiracy believer.   And all the rap and heavy metal music on his page is filled with obscenities and talk of violence.  One describes putting a gun into a person's mouth and blowing their brains out.

I think that EugeneRider is probably right.   The poor guy has mental issues and needs medical help.",toxic,psychiatric_or_mental_illness
264422,"My post was the NATIONWIDE failure of reporting, not this individual's situation.  Read my post slowly enough to comprehend it instead of replying to something which I did not say or imply.

""nationwide, one of the big problems resulting in gun violence is the under-reporting or non-reporting of mental illness by mental health professionals and courts in states like Oregon where such reporting is required by law.""",non-toxic,psychiatric_or_mental_illness
267275,"Maybe all below should think before u speak.  Mental illness is real. Family is real. Save ur judgement and trash talkin. Instead put some effort in to getting our states justice systems attention.  Not everyone is looking to be highlighted in a mugshot.  This is somebody's child, brother, and grandson.  All local.  Thats what is coming to you.",toxic,psychiatric_or_mental_illness
267278,"We need to stop aiming our efforts at shadows.  Overdoses are the result of making possession of meth a crime.  European nations understand this mis-directed thinking.  They don't have the problem America has.  Drug use in America is an avoidance behavior - running from pain of discrimination, joblessness, poverty, mental illness and a host of other ""inducements."" The cost of incarceration is so high that even a tiny slice of those costs could transform our society's attitude toward mental health rather than cops ""spanking"" everybody in sight.  Abusive daddies never solved a problem.  They cause them.",non-toxic,psychiatric_or_mental_illness
268743,"Agree with your points. Keeping it simple, keeping it real in 2016. If you support the mentally ill going untreated, give money to a Panhandler. If you want drug and alcohol abusers hanging out in your community, give money to a Panhandler. If you feel someone wants to not work (there are currently MANY  jobs) give money to a Panhandler. Being poor, having untreated mental illness, alcohol and drug addiction are choices for most. There are resources to assist each of these circumstances...but they all require the receiver of support to agree to the necessary criteria for treatment or assistance. Many elect non-compliance and panhandling provides an income stream to continue their disease or situation uninterrupted. If you want them to remain ""stuck"" in their addiction, illness or street life - then give them cash. Oh and if your thinking ""I still want to give them money"", you can rationalize giving by telling yourself that it makes you feel good and panhandling is a job - sort of.",toxic,psychiatric_or_mental_illness
269712,she's a perfect example as to why liberalism is a mental illness.,toxic,psychiatric_or_mental_illness
270072,"This is outrageous. Social parasites professionally begging to get out of their responsibility to work and support themselves, have the American right to prey on the mentally ill. It is outrageous social parasites now must use the money gained from breaking into your home and car to feed their drug-alcohol addiction when that money should be buying them food. They have the right to prey on the mentally ill to feed their drug-alcohol addiction.",toxic,psychiatric_or_mental_illness
272501,liberalism is a mental disorder,toxic,psychiatric_or_mental_illness
275058,"The accused youth likely has some serious mental health issues that apparently have gotten him in trouble before.  The fact that he is homeless is not in and of itself a cause of murderous behavior nor is his skin color.  

The term ""bum"" is insulting to the homeless population which includes women fleeing abusive partner relationships; children and youth escaping mental and physical abuse, including sexual abuse, from family members; veterans who returned from U.S. war-making with PTSD; male and female elders whose Social Security benefits cannot keep up with rising rents; families with children who experience unemployment or extraordinary medical expanses and cannot pay their rents or mortgages; felons who have paid their debt to society but are now rejected by employers and landlords; people with mental or physical disabilities; gay and trans youth who have been thrown out of their homes by their parents;  and folks who have become locked into addictions to drugs including alcohol.",toxic,psychiatric_or_mental_illness
275622,"The term ""liberal dementia"" in reference to an individual's post is hardly part of a discussion of ""issues"".  It is, in my opinion, rather an attack on the individual who wrote the post.  It dismisses the post as the product of the writers ""political mental illness."" You, sir, have a long history of personally attack others on the Disqus and now this ""Civil Conversation"" site.  Claiming those attacks have been on ""ideas"" and not on individuals is extremely disingenuous.  BTW: I hope you recognize that my criticism is of your ""actions"" not of you as a person.  You might be a truly wonderful person, but those attacks are frequently very personal, very nasty and very counterporductive.",non-toxic,psychiatric_or_mental_illness
276143,"This is a good bill and is a step in the right direction. The next step is to fund more detox and treatment facilities Representative mark Neuman from the valley is working on that. For minor crimes, addictions and behaviors caused by mental health issues ( that are not threatening to others), jail simply does not work.",non-toxic,psychiatric_or_mental_illness
277622,"There are innocent people in prisons, people who are just charged waiting their turn at forced pleas, those who should have never been arrested on bad laws, those who were sentenced harshly, those who are mentally ill and those with addiction issues. At this point in time there is an avalanche of information documenting this. You don't have to do anything wrong to end up in jail. I was wrongfully imprisoned by a prosecutor who was trying to force me to drop and appeal and the DOL promoted him.",non-toxic,psychiatric_or_mental_illness
279641,"Looks to me like the woman may be mentally ill. IF she is, she should receive mental counseling.",toxic,psychiatric_or_mental_illness
282179,In what way exactly is liberalism a mental illness?,toxic,psychiatric_or_mental_illness
282738,"After the diagnosis has been submitted to The American Psychiatric Association next convention,  The Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5) their classification and diagnostic tool, will be updated after their vote to reflect that definition.

That's how ""gender identity disorder""  became ""gender dysphoria"" in the 2013 version.  And how 'Asperger syndrome' lost its separate classification.

""Mental illness"" is what they vote to say it  is, after all.  

That's what passes for 'science' in the psychiatric field; majority votes of those present.",non-toxic,psychiatric_or_mental_illness
283335,"I'm very cautious with what gets defined as healthy or ideal behavior.   Too often it has been defined as 'out of the normal'.   But who knows the full range of humans, the influence of culture, the impact of the environment and genetic predispositions?   Normal to one person may not be normal to others.    We are a very complex and diverse species. 

Said on this site many times, mental illness is a serious problems that in the worst circumstance end in lost lives.   Psychiatry and Psychology are still emerging fields and while imperfect they have sincere people working to find both cause and cure for mental illness.    Much like doctors that run into danger to save lives, the psychiatrist/psychologist enter into crisis situations that most people choose to ignore, even run from, because they are frightened.   Dealing with emotional trauma in not a walk in the park and to those that do it well — we should say thank you.",non-toxic,psychiatric_or_mental_illness
284370,"Defendant: ""I demand to be treated like everyone else!""
Judge: ""I sentence you to 20 years in prison. No post-prison supervision. No mandatory medication.""
Defendant: ""Oh wait, that's not fair, I'm mentally ill. I need an exception.""
Judge: ""Okay... I sentence you to maybe like 5 years in a halfway house, with, uh,  25 years probation and court-ordered medication.""
Defendant: ""That's more than 20 years total. That's not fair! You're treating me differently because I'm mentally ill.""
Judge: ""You're certainly mentally ill. No doubt about that.""",toxic,psychiatric_or_mental_illness
289803,"His mental illness, as it is being called, effects millions and most don't murder their lover. You can not lock up everyone forever for every infraction on the possibility that they may become a murderer.",toxic,psychiatric_or_mental_illness
292471,"If I remember that case correctly, Sherman Pitt was diagnosed as being highly claustrophobic, with several other mental disorders as well.  He had acted up and was placed in the hole ... where he simply went bonkers, and thereby prolonged his stay in the hole ... and went even more bonkers.",toxic,psychiatric_or_mental_illness
293213,"Please read Nutrient Power by William Walsh PhD. http://www.walshinstitute.org/nutrient-power.html  ""Today's emphasis on drug medications will not stand the test of time.  Drugs have helped millions of people with depression and other mental disorders but benefits usually are partial in nature and involve unpleasant or intolerable side effects. ... This book presents an advanced nutrient therapy system that can help millions of persons with mental disorders.  This approach recognizes that most humans have nutrient imbalances due to genetic and environmental factors, and these imbalances can cause mischief in various ways: (1) serotonin, dopamine, and other key neurotransmitters (NT's) are continuously produced in the brain from nutrient raw materials that may be at improper concentrations; (2) nutrient imbalances can alter epigenetic processes that govern NT activity at synapses; (3) deficiency in antioxidant nutrients can cripple the brain's protection against toxic metals . . . """,non-toxic,psychiatric_or_mental_illness
297249,"Boozer: I think it's rather unfair and counterproductive to the discussion to lump all homeless individuals together and, for good measure, ascribe to them the worst possible motives.....they're just a bunch of freeloaders.  That simplistic perspective may allow one to dismiss all homelessness, but it does nothing to address the myriad of issues which lead to homelessness.

Are there some ""freeloaders""?  Of course there are.  However, every site I've checked estimates that percentage at between five and ten percent.  Is it fair to condemn the other 90 to 95 percent because of these freeloaders?  I don't think so.  What about those other, very legitimate, issues causing homelessness? What about mental illness?  What about Vets with PTSD? What about women and children fleeing physical and sexual abuse? What about the recently unemployed and the underemployed? What about drug addicts? What about chronic alcoholics? What about the physically and mentally handicapped?  Dissmiss them all?",toxic,psychiatric_or_mental_illness
298548,"No but physics did teach me well that observation is king, and if your explanation fails to explain what I've observed then you must be wrong. The majority of homeless are not mentally ill or addicts. What I observed is that the way people get along is strongly influenced by their environment they are a part of. Were you to go from town to town and from situation to situation human nature and the people you would meet may suprise you. Ther is a reason that term ""brother"" gets tossed around- it is not just washed up bum talk. Even the addicts will show a different side of themselves if a community is allowed to take root around them. THAT right there says you have not identified a true fundamental factor of causation, i.e. drugs did not cause it, rather something caused the drugs which helped cause the homeless situation. Unfortunately we live in a society where people are outside broken up or inside separated. You've spent much time and effort normalizing fitting into this reality.",non-toxic,psychiatric_or_mental_illness
300477,"Great story and example of compassionate support from strangers for someone truly in need.  Perhaps if we had more of these types of stories, some of the stigma surrounding people with mental health issues would dissipate.
It's a tough world out there for far too many people...",non-toxic,psychiatric_or_mental_illness
300935,"SpenAk, you made made the argument for SB91 and even more reform.  I wonder how many of the over-18 inmates now incarcerated were sent to prison at a very young age and learned to be better criminals?   Aside from that, the prison environment itself --and I'm talking about the COs, living conditions, the way inmates are treated and more--creates mental illness and psychological/psychiatric problems.  Add on the attitude of the majority of a hypocritical, vengeful, unforgiving and hateful public toward anyone with a record and you have a perfect recipe for continued criminality and recidivism. If you're not part of the solution you're part of the problem.",toxic,psychiatric_or_mental_illness
302109,"Tompaine:  I really wish your statements were true.  Since all studies and surveys show that only five to ten percent of the homeless are ""voluntarily"" homeless, it would be the homeless population would, by definition, be reduced by ninety to ninety-five percent.    You mention ""the relatively few who would work if they had resources to become employed and if THEY DIDN'T SUFFER FROM SOME SORT OF EMOTIONAL CONDITION MAKING ANY PROFESSIONAL INTERACTION IMPOSSIBLE."" (my caps, for emphasis).  That is precisely the point.   The bulk of the homeless population face significant barriers to working their way out of homelessness:  Mental illness, alcohol and substance abuse, Vets with PTSD, physically and mentally handicapped, women, often with children, escaping an abusive relationship, teenagers escaping physically and, often, sexually abusive homes. and other individual issues.  

Your last sentence seems to imply they should be treated like lepers.  Am I misreading your statement?",toxic,psychiatric_or_mental_illness
303117,"I hope a psych evaluation isn't done.
I want these people thrown in prison forever -not have some defense lawyer claim that something is wrong with the parents, who then escape justice because of some condition that suddenly pops up with a psychiatric test. These people knew better regardless of what some mental test says, and I don't care what anyone else says.
Guarantee you they knew, which is why they went to such lengths to keep it a secret.
These people should be thrown in a pit and left to fend in the same manner as their daughters, but forever.",toxic,psychiatric_or_mental_illness
303640,"Just why is it that our legislators can't use the Atwood Bldg? Is it that they can't lower themselves to be in the same building with the lower class state employees? Do they have to have the absolute best facility in order to do a 90 day job, even though they never get their job done? The legislators want to take from the people of Alaska From 8 to 80, as long as they don't have to give up anything them selves. I'm beginning to think there is some sort of mental illness infecting our politicians! Perhaps that possibility should be investigated or we should just let them go on their merry way by voting them out of office! I'm afraid stupid can't be fixed!",toxic,psychiatric_or_mental_illness
304500,"Bob, that's a lame analogy.   Being a woman is not a mental illness.  GID (gender identity disorder) is a mental illness.  You are comparing an apple to an orange, that thinks it's a banana.",non-toxic,psychiatric_or_mental_illness
304570,"The DSM once considered homosexuality a ""mental disorder.""   That changed with further understanding.",toxic,psychiatric_or_mental_illness
304830,"From what I read, I think that more investigation needs to be done - mental health issues and poverty being at the top of the list.  You can't have just ""part"" of a house in that condition, so is was it neglect or was it mental illness.  But the state does need to require school districts to track homeschooling families to catch issues like this. If it is true.  We only have one side of it so far.",non-toxic,psychiatric_or_mental_illness
310330,"The camping ban forces the homeless to hide, making it impossible to get an accurate count, but this is useful in terms of the composition of the homeless. Note that of the 1,451 people counted, ""232 people have chronic alcohol/substance abuse issues"", which is only 16 percent. 434 people have a mental illness, which is 30 percent. These figures are important because many people think addiction and mental illness are the main drivers of homelessness. They're certainly a factor, but most homeless don't fall into those categories (especially since there was probably a lot of overlap). I believe that the stress of homelessness is a driver of addiction and mental illness.

http://www.lanecounty.org/media/news/pages/pr_hhs_homeless_count_results.aspx",non-toxic,psychiatric_or_mental_illness
311819,"“DOC is the one that has the answers. They’re the ones responsible for housing our mentally ill, for taking care of them""
Here is the problem again, same perspective that the other parents with the dead daughter had. We have  a terrible mental health system and a growing mentally ill population, by default they end up in DOC's care, but this is not the role of DOC.",non-toxic,psychiatric_or_mental_illness
311952,"I can appreciate a bleeding heart. But.....being homeless is a choice in almost all cases. They chose to allow their additions to run their lives, they chose not to want to work however menial the job. They choose to live in the woods or on our sidewalks rather than facing their addictions or other issues. They are their today because of the totality of their life choices. I think the homeless have the ""resources they need"", they choose not to utilize them. I do applaud the mayor for trying to make a difference here. But I guess my point is that throwing money and resources at this group is almost pointless.....no ROI here. The exception to my comments are those with real mental disabilities.",non-toxic,psychiatric_or_mental_illness
311954,"Sue, is a de facto mental health facility as long as the state chooses to lock mentally ill people up in them.   It is the State that has the choice here.",non-toxic,psychiatric_or_mental_illness
312464,"There's a strong force of addiction intertwined with horrific mental illness that may never be cured, Jammer.  I've seen many of the homeless up close.  Can't get out of my vehicle without someone running up to my car window banging on it to see if I have some change or bills.  There's no escaping the homeless.  They're in our face whether we like it or not.  Casting a drag net and scooping them up and placing them gawd knows where is a hapless option.",toxic,psychiatric_or_mental_illness
312492,"Except those chronic addicts, alcoholics, and seriously mentally ill -have- resources available, but often choose not to avail themselves of them for any number of reasons. And, due to the evolution of involuntary commitment laws since the 50s/60s, thanks in large part to the talk therapy crowd going out of their wheelhouse, and the ACLU and credulous people taking ""One Flew Over the Cuckoo's Nest"" and The Snake Pit as documentaries, and budgets being moved to useless but cheaper ""Community Health Centers"" instead of in-patient mental institutions, those unfortunates cannot be effectively confined for treatment nor for their own protection. Instead we humanely, and high-mindedly, and oh so ""virtuously"" leave them to die on the streets.",non-toxic,psychiatric_or_mental_illness
313192,"Basic human rights are not subject to majority rule. Great stuff that DNA but it simply does not replace the gender identity a person has of themselves.  Gender dysphoria is not mental illness, it is a treatable condition.  The real point is that persons with Gender dysphoria are in fact human and need all the rights and respect you would give any other human. They are honest taxpaying citizens, veterans, active duty, doctors, engineers.. the list goes on and on, ad it cuts across all cultures and all of human history.",toxic,psychiatric_or_mental_illness
313542,What about mentally disabled transgender people?,toxic,psychiatric_or_mental_illness
313700,"Murder isn't a ""mistake,"" Rhyner.  If I had a cocky, troubled teen like this killer, I'd have done everything in my power to make sure that the courts, probation officers, or anyone in authority knew of his whereabouts and criminal behaviors.  The Almedas may have be frightened of their killer son and simply caved in to save their own lives.  Breanna had some mental illness going on too in order for her to stay with this guy, and in his parents' house.  And yes, Rhyner, this lawsuit should be a wakeup call for teen bullies and the parents that look the other way.",toxic,psychiatric_or_mental_illness
315118,"Actually, by law people can be forced to get mental health help.  Whether they can force anyone to accept it is the question.",toxic,psychiatric_or_mental_illness
317451,Liberalism is a mental illness. This month it's all about supposedly bullying transgender individuals. Next month it might well be complaining about having the right to pick their nose and eat it in public view.,toxic,psychiatric_or_mental_illness
318349,"I wasn't worried about the PC aspect of it. I hear, ""liberalism is a mental disorder"" all the time here and elsewhere, and I think it is a problem when people so disagree that they can't find a thread of understanding in the other viewpoint. I know you were just blowing off steam but it is such a common attitude on both sides.",non-toxic,psychiatric_or_mental_illness
319424,"Absolutely correct, to hold someone against their will they must be exhibiting behavior that is deemed harmful to self or others and held only for 48-72 hours until a hearing is conducted. Holding in a secure facility aka a hospital setting/Johnson Unit or local jail until a Court hearing  to determine if commitment is necessary. I did not make it clear enough in my comment  what a ""21st Century VERSION""of what used to be known as the State Hospital  might be. (Hard to include indepth detail info with limited number of characters to work with.) This 21st Century version must be VERY different from what used to be...something that will meet the needs of today. Too many mentally ill and drug addicted being housed in local jails today as the unintended consequence of unavailable treatment. There will still be court commitments but the great majority will likely engage voluntarily and welcome treatment, in-patient or out. The State needs to design a plan to address this need - very soon.",non-toxic,psychiatric_or_mental_illness
319441,"Indeed, but the cycle goes uninterrupted. The mentally ill population falls into groups, while being different have similar needs. The Chronically Mentally Ill, The Acutely Mentally Ill and the Drug and Alcohol addicted who may also suffer a chronic mental illness. Are current resources working? Not when reports that there are significant numbers of them in jail.",non-toxic,psychiatric_or_mental_illness
320303,Liberalism is a mental illness. These people can only work with what they were born with.,toxic,psychiatric_or_mental_illness
324552,Someday the need to climb difficult peaks will be recognized as a mental disorder,non-toxic,psychiatric_or_mental_illness
330483,"Tom:  Thank you for expressing your perspective.  May I respond.

First, I agree that many charitable organizations do a great deal to help the homeless and destitute.  The Eugene Mission and St. Vinnies immediately come to mind.  However, they only serve a small portion of the homeless population.  The Mission is not equipped to work with the mentally ill and is will not accept individuals who are ""under the influence"" or drugs or alcohol.  I understand the reasoning for the policy and have no quarrel with it.  

However, it's important to remember that chronic alcoholism and substance abuse are both diseases which require extensive rehabilitative support if they're to be treated.  The homeless and impoverished do not have these services available to them.  It's easy for some to say ""hey, you Bum, quit your damn drinking!""  Easy to say.........hard to do.. In fact, almost impossible to do.

I'd like to share an OpEd pieced I wrote on this issue.  let me know, if interested......",toxic,psychiatric_or_mental_illness
330732,"What's wrong with knowing this kid has a mental illness that makes ""it"" not willing to accept the gender god gave it.",toxic,psychiatric_or_mental_illness
330872,"And that is the typical liberal mantra. Agree with me or be censored. Words have meanings, and to accurately use a word is not hate. Genitalia is the determining factor in sex, orientation is not.

I am not familiar with the numbers you quote for the abused. I don't say its not true, just that a link would be helpful. But there are other factors that effect this particular illness that hate. It is a mental disorder, and those like yourself who prefer acceptance over treatment are without doubt a contributing factor. You, with your big heart are literally going to force tens, if not hundreds of millions of people to accept this illness regardless of what they know (or just believe) to be right. 

That my friend, is a recipe for disaster.",non-toxic,psychiatric_or_mental_illness
331572,"If someone has a multiple personality disorder or schizophrenia should their family just give up and let it run it's course or try counseling and drugs to see if maybe there is a better way to manage it.  With the treatment of all mental disorders the chance of long term success is not good, but it still seem like they should try.",non-toxic,psychiatric_or_mental_illness
331659,"NA-AA are free services for those who want to stop using drugs, alcohol, then there were programs such as the former Stump Ranch, but they went bankrupt because these social leeches squandered their public assistance and didn't pay their room and board though taxpayers supplied them the ability to do so. As for the mentally ill, one more time, gary, the courts have empowered them to refuse help. the vets with PTSD are being helped through Saint Vinnies and the VA...just to reference a few. One more time, standing on street corners professionally begging is not looking for work, it's looking for a fool and their money shall soon depart to fund their obnoxious dysfunctional dead end dead beat life.",toxic,psychiatric_or_mental_illness
337030,"It is time for Hillary and the rest of us to spend some time pushing for a complete psychological evaluation of Drumpf. He may have a US birth certificate just like President Obama, but he needs to assure us and the rest of the world he is not really mentally ill.",toxic,psychiatric_or_mental_illness
337761,"Read my post, I am in Anchorage a lot, I have met many homeless people and they are indeed working. We can need to free our thought that the homeless in America only are alcoholics, drug addicts and people with mental illness. A sad case, a woman and her toddler living in her car with all their gear, using the social safety net of the state and having to be put on massive waiting lists for help and thus they are having their lunch in their vehicle next to me in a parking lot at a store in Soldotna. I gave the young mom the name of a friend of mine who had some small cabins fro rent and told her to use my name. I try to do what I can but it is a sad situation. A lot of  homeless folks who live in their vehicles in Alaska's summer just seem to blend in with the other travelers, but they are here. I see them in the campgrounds all the time.",non-toxic,psychiatric_or_mental_illness
